Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
1884,33,640,25.5,5.45,3074,114727,109312,16742,26593,20347,4020,1537,689,,,,4947,4335,0.243,0.279,0.327,0.606,35754,,468,,,,104288
1883,16,258,26.4,5.75,1570,59996,57670,9030,14828,11157,2487,946,238,,,,2326,2877,0.257,0.286,0.345,0.631,19921,,,,,,54555
1882,14,229,25.8,5.33,1142,43214,41622,6092,10333,7916,1616,623,178,,,,1592,2159,0.248,0.276,0.33,0.606,13729,,,,,,39285
1881,8,120,25.7,5.1,672,25410,24377,3425,6339,4891,1068,304,76,2488,,,1033,1784,0.26,0.29,0.338,0.628,8243,,,,,,22517
1880,8,127,24.8,4.69,680,25041,24301,3191,5946,4576,980,328,62,2223,,,740,1993,0.245,0.267,0.32,0.587,7768,,,,,,22246
1879,8,119,24.7,5.31,642,24663,24155,3409,6171,4838,958,317,58,2357,,,508,1843,0.255,0.271,0.329,0.599,7937,,,,,,22254
1878,6,77,24.7,5.17,368,14008,13644,1904,3539,2903,481,132,23,1331,,,364,1081,0.259,0.279,0.319,0.598,4353,,,,,,12540
1877,6,92,25.9,5.67,360,14012,13667,2040,3705,3046,431,204,24,1410,,,345,726,0.271,0.289,0.338,0.627,4616,,,,,,12917
1876,8,121,25.3,5.9,520,20457,20121,3066,5338,4484,633,181,40,1984,,,336,589,0.265,0.277,0.321,0.598,6453,,,,,,19492
1875,13,188,24.7,6.14,690,27082,26833,4234,6812,5660,839,273,40,2710,629,320,249,675,0.254,0.261,0.31,0.571,8317,142,,,,,26118
1874,8,120,25,7.48,464,19342,19104,3470,5224,4356,634,194,40,2252,242,97,238,357,0.273,0.282,0.333,0.616,6366,107,,,,,18707
